ExportFishery,GearType,Vessels,Licenses,Participants,MarineMammalMortality,RFMO,AdditionalInfo
Anchoveta(=Peruvian anchovy) (Engraulis ringens); Araucanian herring (Strangomera bentincki); Atlantic saury (Scomberesox saurus); Chilean jack mackerel (Trachurus murphyi); Eastern Pacific bonito (Sarda chiliensis); Jumbo flying squid (Dosidicus gigas); Mote sculpin (Normanichthys crockeri); Pacific chub mackerel (Scomber japonicus); Pacific menhaden (Ethmidium maculatum); Palm ruff (Seriolella violacea); Patagonian squid (Loligo gahi); Starry butterfish (Stromateus stellatus); White warehou (Seriolella caerulea),"Purse seines, (Pelagic)",274,,,,,
Albacore (Thunnus alalunga); Anchoveta(=Peruvian anchovy) (Engraulis ringens); Araucanian herring (Strangomera bentincki); Atlantic saury (Scomberesox saurus); Bigeye tuna (Thunnus obesus); Blue fathead (Cubiceps caeruleus); Chilean jack mackerel (Trachurus murphyi); Common dolphinfish (Coryphaena hippurus); Corvina drum (Cilus gilberti); Eastern Pacific bonito (Sarda chiliensis); Jumbo flying squid (Dosidicus gigas); Mote sculpin (Normanichthys crockeri); Oceanic lightfish (Vinciguerria nimbaria); Pacific chub mackerel (Scomber japonicus); Pacific menhaden (Ethmidium maculatum); Pacific sandperch (Prolatilus jugularis); Palm ruff (Seriolella violacea); Patagonian grenadier (Macruronus magellanicus); Patagonian squid (Loligo gahi); Plownose chimaera (Callorhinchus callorynchus); Red­eye round herring (Etrumeus teres); Shortfin scad (Decapterus macrosoma); Silver warehou (Seriolella punctata); Skipjack tuna (Katsuwonus pelamis); Snoek (Thyrsites atun); South Pacific hake (Merluccius gayi); Southern rays bream (Brama australis); Starry butterfish (Stromateus stellatus); Swordfish (Xiphias gladius); White warehou (Seriolella caerulea); Yellowfin tuna (Thunnus albacares); Yellowtail amberjack (Seriola lalandi),"Purse seines, (Pelagic)",27,,,27.8,SPRFMO," South American
sea lion (South American sea lion chilean stock): 27.8"
Anchoveta(=Peruvian anchovy) (Engraulis ringens); Araucanian herring (Strangomera bentincki); Chilean jack mackerel (Trachurus murphyi); Falkland sprat (Sprattus fuegensis); Mote sculpin (Normanichthys crockeri); Munida spp (Munida spp); Pacific chub mackerel (Scomber japonicus); Pacific menhaden (Ethmidium maculatum); Starry butterfish (Stromateus stellatus),"Purse seines, (Pelagic)",38,,,0,,
Anchoveta(=Peruvian anchovy) (Engraulis ringens); Falkland sprat (Sprattus fuegensis); Munida spp (Munida spp),"Purse seines, (Pelagic)",8,,,,,
Patagonian toothfish (Dissostichus eleginoides),"Longlines (not specified), (Bottom)",1,,,0,CCAMLR,
Patagonian toothfish (Dissostichus eleginoides),"Longlines (not specified), (Bottom)",0,,,,CCAMLR,
Albacore (Thunnus alalunga); Angler(=Monk) (Lophius piscatorius); Bigeye tuna (Thunnus obesus); Blue shark (Prionace glauca); Butterfly kingfish (Gasterochisma melampus); Common dolphinfish (Coryphaena hippurus); Eastern Pacific bonito (Sarda chiliensis); Escolar (Lepidocybium flavobrunneum); Oilfish (Ruvettus pretiosus); Opah (Lampris guttatus); Porbeagle (Lamna nasus); Rays and skates nei (Rajidae); Shortfin mako (Isurus oxyrinchus); Skipjack tuna (Katsuwonus pelamis); Striped marlin (Tetrapturus audax); Striped marlin (Tetrapturus audax); Thresher (Alopias vulpinus); Wahoo (Acanthocybium solandri); Yellowfin tuna (Thunnus albacares); Yellowtail amberjack (Seriola lalandi),"Longlines (not specified), (Pelagic)",100,,,0,IATTC,
Anchoveta(=Peruvian anchovy) (Engraulis ringens); Atlantic saury (Scomberesox saurus); Cabinza grunt (Isacia conceptionis); Chilean jack mackerel (Trachurus murphyi); Chilean silverside (Odontesthes regia); Common dolphinfish (Coryphaena hippurus); Eastern Pacific bonito (Sarda chiliensis); Jumbo flying squid (Dosidicus gigas); Longnose anchovy (Anchoa nasus); Mote sculpin (Normanichthys crockeri); Oceanic lightfish (Vinciguerria nimbaria); Pacific chub mackerel (Scomber japonicus); Pacific menhaden (Ethmidium maculatum); Patagonian squid (Loligo gahi); Peruvian weakfish (Cynoscion analis); Plownose chimaera (Callorhinchus callorynchus); Red­eye round herring (Etrumeus teres); Sciaenas nei (Sciaena spp); Shortfin scad (Decapterus macrosoma); Snakehead kingcroaker (Menticirrhus ophicephalus); South American pilchard (Sardinops sagax); Starry butterfish (Stromateus stellatus); Stellifer spp (Stellifer spp),"Purse seines, (Surface)
",61,,,0,,
Anchoveta(=Peruvian anchovy) (Engraulis ringens); Atlantic saury (Scomberesox saurus); Chilean jack mackerel (Trachurus murphyi); Common dolphinfish (Coryphaena hippurus); Eastern Pacific bonito (Sarda chiliensis); Jumbo flying squid (Dosidicus gigas); Mote sculpin (Normanichthys crockeri); Pacific chub mackerel (Scomber japonicus); Pacific menhaden (Ethmidium maculatum); Palm ruff (Seriolella violacea); Patagonian squid (Loligo gahi); Skipjack tuna (Katsuwonus pelamis); South American pilchard (Sardinops sagax); Starry butterfish (Stromateus stellatus),"Purse seines, (Surface)",142,,,,,
Anchoveta(=Peruvian anchovy) (Engraulis ringens); Araucanian herring (Strangomera bentincki); Atlantic saury (Scomberesox saurus); Bigeye flounder (Hippoglossina macrops); Chilean jack mackerel (Trachurus murphyi); Chilean silverside (Odontesthes regia); Corvina drum (Cilus gilberti); Eastern Pacific bonito (Sarda chiliensis); Filefishes nei (Cantherhines (=Navodon) spp); Jumbo flying squid (Dosidicus gigas); Mote sculpin (Normanichthys crockeri); Pacific chub mackerel (Scomber japonicus); Pacific menhaden (Ethmidium maculatum); Pacific sandperch (Prolatilus jugularis); Palm ruff (Seriolella violacea); Patagonian grenadier (Macruronus magellanicus); Patagonian squid (Loligo gahi); Pink cusk­eel (Genypterus blacodes); Plownose chimaera (Callorhinchus callorynchus); Snoek (Thyrsites atun); South Pacific hake (Merluccius gayi); Starry butterfish (Stromateus stellatus); White warehou (Seriolella caerulea),"Purse seines, (Surface)",481,,,0,,
