ExportFishery,GearType,Vessels,Licenses,Participants,MarineMammalMortality,RFMO,AdditionalInfo
multispecies fishery unspecified (Osteichthyes),"Trawls (not specified), (Bottom)",,,,29.6,,"Gray seal (Icelandic): 12.4; Harbor seal, common seal (Icelandic): 17.2"
Northern prawn (Pandalus borealis); multispecies fishery unspecified (Osteichthyes),"shrimp/prawn trawl, (Bottom)",,,,,NAFO,
Capelin (Mallotus villosus); Demersal fishes nei (Osteichthyes),"Purse seines, (Pelagic)",,,,0,,
Atlantic cod (Gadus morhua); multispecies fishery unspecified (Osteichthyes),"Gillnets and entangling nets (not specified), (Demersal)",,,,1990,,"Gray seal (Icelandic): 1.2; Harbor porpoise (Icelandic coastal waters): 1841; Harbor seal, common seal (Icelandic): 15.8; Harp seal (Greenland sea stock): 121; Humpback whale (Central North Atlantic (Iceland and Faroe islands)): .2; Ringed seal (East Greenland and Greenland sea east to Svalbard): 9; White­beaked dolphin (Icelandic): .8"
Atlantic herring (Clupea harengus); multispecies fishery unspecified (Osteichthyes),"Purse seines, (Pelagic)",,,,,,
Lumpfish (roe/caviar); Lumpfish(=Lumpsucker) (Cyclopterus lumpus); multispecies fishery unspecified (Osteichthyes),"Gillnets and entangling nets (not specified), (Demersal)",,,,3223.7,,"Bearded seal (Atlantic): 28; Gray seal (Icelandic): 989; Harbor porpoise (Icelandic coastal waters): 528; Harbor seal, common seal (Icelandic): 1389; Harp seal (Greenland sea stock): 240; Ringed seal (East Greenland and Greenland sea east to Svalbard): 49; White­beaked dolphin (Icelandic): .7"
Atlantic herring (Clupea harengus); Atlantic mackerel (Scomber scombrus); Blue whiting(=Poutassou) (Micromesistius poutassou); multispecies fishery unspecified (Osteichthyes),"Purse seines, (Pelagic)",,,,,,
Atlantic herring (Clupea harengus); Atlantic mackerel (Scomber scombrus); Blue whiting(=Poutassou) (Micromesistius poutassou); multispecies fishery unspecified (Osteichthyes),"Midwater trawls (not specified), (Pelagic)",,,,,NEAFC,
"Atlantic herring (Clupea harengus); Atlantic mackerel (Scomber scombrus); Blue whiting(=Poutassou) (Micromesistius poutassou); Greater argentine (Argentina silus); Various squids nei (Loliginidae, Ommastrephidae)","Midwater trawls (not specified), (Pelagic)",,,,1,,North Atlantic minke whale (Central Atlantic): .1
Angler(=Monk) (Lophius piscatorius); Monkfishes nei (Lophius spp); multispecies fishery unspecified (Osteichthyes),"Gillnets and entangling nets (not specified), (Demersal)",,,,166.8,,"Harbor porpoise (Icelandic coastal waters): 125; Harbor seal, common seal (Icelandic): 41.8"
Norway lobster (Nephrops norvegicus); multispecies fishery unspecified (Osteichthyes),Nephrops trawl (bottom),,,,,,
Atlantic bluefin tuna (Thunnus thynnus),"Longlines (not specified), (Pelagic)",1,1,1,,,
Finfishes nei (Osteichthyes); Northern prawn (Pandalus borealis),"shrimp/prawn trawl, (Bottom)",,,,,ICCAT,
Atlantic mackerel (Scomber scombrus),"Midwater trawls (not specified), (Pelagic)",,,,0,,
Atlantic cod (Gadus morhua); Demersal fishes nei (Osteichthyes); multispecies fishery unspecified (Osteichthyes),"Trawls (not specified), (Bottom)",,,,,,
Atlantic cod (Gadus morhua); Demersal fishes nei (Osteichthyes); multispecies fishery unspecified (Osteichthyes),"Trawls (not specified), (Bottom)",,,,,,
Beaked redfish (Sebastes mentella),"Trawls (not specified), (Bottom)",,,,,,
Northern prawn (Pandalus borealis); multispecies fishery unspecified (Osteichthyes),"shrimp/prawn trawl, (Bottom)",,,,,,
Greater argentine (Argentina silus); multispecies fishery unspecified (Osteichthyes),"Trawls (not specified), (Bottom)",,,,,NEAFC,
multispecies fishery unspecified (Osteichthyes,"Longlines (not specified), (Bottom)",,,,0,,
Capelin (Mallotus villosus),"Midwater trawls (not specified), (Pelagic)",,,,0,,
Finfishes nei (Osteichthyes); Northern prawn (Pandalus borealis),"shrimp/prawn trawl, (Bottom)",,,,,NEAFC,
Atlantic herring (Clupea harengus); Atlantic mackerel (Scomber scombrus); Blue whiting(=Poutassou) (Micromesistius poutassou); multispecies fishery unspecified (Osteichthyes)\,"Purse seines, (Pelagic)",,,,,NEAFC,
