ExportFishery,GearType,Vessels,Licenses,Participants,MarineMammalMortality,RFMO,AdditionalInfo
Pelagic fishes nei (Osteichthyes); Tunas nei (Thunnini),"Gillnets and entangling nets (not specified), (Pelagic)",9155,9155,,,,
Mackerels nei (Scombridae); Tunas nei (Thunnini),"Purse seines, (Pelagic)",5880,5880,,,,
"Various squids nei (Loliginidae, Ommastrephidae)","Handlines and hand­operated pole­ and­lines, (Midwater), Surrounding nets (not specified), (Pelagic), single and/or pair trawl, (Demersal)",24615,24615,,,,
Anchovies nei (Engraulis spp); Herrings/sardines nei (Clupeidae),"Purse seines, (Pelagic)",2209,2209,2209,,,
Swimming crabs/etc. nei (Portunidae,"Fixed gillnets (on stakes), (Demersal)",285,285,285,,,
Conger eels/etc. nei (Congridae),"Trawls (not specified), (Bottom)",7836,7836,,,,
Cuttlefishes nei (Sepia spp); Demersal fishes nei (Osteichthyes); Flatfishes nei (Pleuronectiformes); Groupers nei (Epinephelus spp); Mullets nei (Mugilidae); Snappers nei (Lutjanus spp); Soles nei (Soleidae),"Trawls (not specified), (Bottom)",14682,14682,14682,,,
Dolphinfishes nei (Coryphaenidae),"Gillnets and entangling nets (not specified), (Pelagic)",1753,1753,,,,
Lobsters nei (Reptantia),"Gillnets and entangling nets (not specified), (Bottom)",8875,8875,,,,
Mackerels nei (Scombridae,"Gillnets and entangling nets (not specified), (Pelagic) ",13444,13444,,,,
Mackerels nei (Scombridae,"Purse seines, (Pelagic)",5880,5880,,,,
Mullets nei (Mugilidae),"Gillnets and entangling nets (not specified), (Demersal)",30065,30065,,,,
