"GearType","Frequency"
"Longlines (not specified), (Bottom)",16
"Set gillnets/set nets (anchored), (Bottom)",15
"Longlines (not specified), (Pelagic)",14
"Purse seines, (Pelagic)",13
"Trawls (not specified), (Bottom)",13
"Otter trawls (not specified), (Bottom)",10
"Gillnets and entangling nets (not specified), (Pelagic)",9
"Midwater trawls (not specified), (Midwater), Otter trawls (not specified), (Bottom), Trawls (not specified), (Bottom)",8
"Midwater trawls (not specified), (Midwater)",7
"Gillnets and entangling nets (not specified), (Demersal)",5
"Purse seines, (Surface)",5
"Set gillnets/set nets (anchored), (Pelagic)",5
"shrimp/prawn trawl, (Bottom)",5
"Gillnets and entangling nets (not specified), (Bottom)",4
"Midwater trawls (not specified), (Pelagic)",4
"Fixed gillnets (on stakes), (Bottom), Set gillnets/set nets (anchored), (Bottom)",3
"Midwater trawls (not specified), (Demersal)",3
"Set gillnets/set nets (anchored), (Surface)",3
"Trawls (not specified), (Demersal)",3
"Bottom trawls (not specified), (Bottom)",2
"Fixed gillnets (on stakes), (Pelagic), Set gillnets/set nets (anchored), (Pelagic)",2
"Gillnets and entangling nets (not specified), (Surface)",2
"Trawls (not specified), (Midwater)",2
"Barriers, fences, weirs, etc., (Pelagic), Beach seines, (Pelagic), Other (Please Specify) shut­off / stop seine, (Pelagic), trap nets/stationary nets, (Pelagic)",1
"Barriers, fences, weirs, etc., (Surface), Set gillnets/set nets (anchored), (Surface)",1
"Beam trawls, (Bottom), Otter trawls (not specified), (Bottom)",1
"Beam trawls, (Demersal),",1
"Bottom trawls (not specified), (Bottom), Midwater trawls (not specified), (Midwater)",1
"Fixed gillnets (on stakes), (Demersal)",1
"Gillnets and entangling nets (not specified), (Bottom), Longlines (not specified), (Bottom)",1
"Gillnets and entangling nets (not specified), (Bottom), Seine nets (not specified), (Pelagic), Traps (not specified), (Bottom)",1
"Gillnets and entangling nets (not specified), (Demersal),",1
"Gillnets and entangling nets (not specified), (Midwater)",1
"Gillnets and entangling nets (not specified), (Pelagic) ",1
"Gillnets and entangling nets (not specified), (Surface), Set gillnets/set nets (anchored), (Pelagic)",1
"Handlines and hand­operated pole­ and­lines, (Midwater), Surrounding nets (not specified), (Pelagic), single and/or pair trawl, (Demersal)",1
"Longlines (not specified), (Benthic)",1
"Longlines (not specified), (Bottom), Trolling lines, (Bottom)",1
"Longlines (not specified), (Demersal)",1
"Longlines (not specified), (Midwater), Longlines (not specified), (Pelagic), Longlines (not specified), (Surface)",1
"Midwater trawls (not specified), (Bottom)",1
"Midwater trawls (not specified), (Midwater), Otter trawls (not specified), (Bottom)",1
"Midwater trawls (not specified), (Midwater), Otter trawls (not specified), (Midwater)",1
"Midwater trawls (not specified), (Midwater), Semipelagic trawls, (Demersal), Trawls (not specified), (Bottom)",1
"Nephrops trawl (bottom)",1
"Otter trawls (not specified), (Benthic)",1
"Otter trawls (not specified), (Demersal),",1
"Purse seines, (Demersal)",1
"Purse seines, (Midwater), Purse seines, (Surface)",1
"Purse seines, (Surface)
",1
"Set gillnets/set nets (anchored), (Bottom), Trawls (not specified), (Bottom), dip nets, (Bottom)",1
"Set gillnets/set nets (anchored), (Midwater)",1
"Set longlines, (Pelagic)",1
"Single and/or double rig trawl, (Bottom)",1
"single and/or pair trawl, (Demersal)",1
"Trawls (not specified), (Bottom), shrimp/prawn trawl, (Bottom)",1
"Trawls (not specified), (Midwater), shrimp/prawn trawl, (Midwater)",1
