"GearType","Frequency","Country"
"Set gillnets/set nets (anchored), (Bottom)",11,"Canada"
"Otter trawls (not specified), (Bottom)",10,"Canada"
"Longlines (not specified), (Bottom)",9,"Canada"
"Longlines (not specified), (Pelagic)",9,"Canada"
"Midwater trawls (not specified), (Midwater), Otter trawls (not specified), (Bottom), Trawls (not specified), (Bottom)",8,"Canada"
"Midwater trawls (not specified), (Midwater)",7,"Canada"
"Set gillnets/set nets (anchored), (Pelagic)",5,"Canada"
"Gillnets and entangling nets (not specified), (Pelagic)",4,"Canada"
"Trawls (not specified), (Bottom)",4,"Canada"
"Fixed gillnets (on stakes), (Bottom), Set gillnets/set nets (anchored), (Bottom)",3,"Canada"
"Fixed gillnets (on stakes), (Pelagic), Set gillnets/set nets (anchored), (Pelagic)",2,"Canada"
"Gillnets and entangling nets (not specified), (Bottom)",2,"Canada"
"Set gillnets/set nets (anchored), (Surface)",2,"Canada"
"Barriers, fences, weirs, etc., (Pelagic), Beach seines, (Pelagic), Other (Please Specify) shut­off / stop seine, (Pelagic), trap nets/stationary nets, (Pelagic)",1,"Canada"
"Barriers, fences, weirs, etc., (Surface), Set gillnets/set nets (anchored), (Surface)",1,"Canada"
"Beam trawls, (Bottom), Otter trawls (not specified), (Bottom)",1,"Canada"
"Bottom trawls (not specified), (Bottom), Midwater trawls (not specified), (Midwater)",1,"Canada"
"Gillnets and entangling nets (not specified), (Bottom), Longlines (not specified), (Bottom)",1,"Canada"
"Gillnets and entangling nets (not specified), (Bottom), Seine nets (not specified), (Pelagic), Traps (not specified), (Bottom)",1,"Canada"
"Gillnets and entangling nets (not specified), (Midwater)",1,"Canada"
"Gillnets and entangling nets (not specified), (Surface)",1,"Canada"
"Gillnets and entangling nets (not specified), (Surface), Set gillnets/set nets (anchored), (Pelagic)",1,"Canada"
"Longlines (not specified), (Bottom), Trolling lines, (Bottom)",1,"Canada"
"Midwater trawls (not specified), (Bottom)",1,"Canada"
"Midwater trawls (not specified), (Midwater), Otter trawls (not specified), (Bottom)",1,"Canada"
"Midwater trawls (not specified), (Midwater), Otter trawls (not specified), (Midwater)",1,"Canada"
"Midwater trawls (not specified), (Midwater), Semipelagic trawls, (Demersal), Trawls (not specified), (Bottom)",1,"Canada"
"Otter trawls (not specified), (Benthic)",1,"Canada"
"Set gillnets/set nets (anchored), (Bottom), Trawls (not specified), (Bottom), dip nets, (Bottom)",1,"Canada"
"Set gillnets/set nets (anchored), (Midwater)",1,"Canada"
"shrimp/prawn trawl, (Bottom)",1,"Canada"
"Trawls (not specified), (Bottom), shrimp/prawn trawl, (Bottom)",1,"Canada"
"Trawls (not specified), (Midwater), shrimp/prawn trawl, (Midwater)",1,"Canada"
"Purse seines, (Surface)",5,"Chile"
"Longlines (not specified), (Pelagic)",4,"Chile"
"Purse seines, (Pelagic)",4,"Chile"
