"GearType","Frequency","Country"
"Trawl",39,"Canada"
"Gillnet",35,"Canada"
"Longline",20,"Canada"
"Seine",2,"Canada"
"Seine",10,"Chile"
"Longline",8,"Chile"
"Trawl",8,"Chile"
"Gillnet",3,"Chile"
"Gillnet",3,"Ecuador"
"Longline",3,"Ecuador"
"Trawl",2,"Ecuador"
"Seine",1,"Ecuador"
"Gillnet",1,"Fiji"
"Longline",1,"Fiji"
"Trawl",1,"Honduras"
"Trawl",14,"Iceland"
"Seine",4,"Iceland"
"Gillnet",3,"Iceland"
"Longline",2,"Iceland"
"Gillnet",3,"Norway"
"Seine",2,"Norway"
"Trawl",2,"Norway"
"Longline",1,"Norway"
"Gillnet",1,"Thailand"
"Longline",1,"Thailand"
"Seine",1,"Thailand"
"Trawl",1,"Thailand"
"Gillnet",6,"Vietnam"
"Seine",3,"Vietnam"
"Trawl",3,"Vietnam"
