"GearType","MarineMammalMortality","Country"
"Set gillnets/set nets (anchored), (Bottom)",52.2,"Canada"
"Gillnets and entangling nets (not specified), (Bottom)",40,"Canada"
"Bottom trawls (not specified), (Bottom), Midwater trawls (not specified), (Midwater)",27.6,"Canada"
"Otter trawls (not specified), (Bottom)",18.4,"Canada"
"Trawls (not specified), (Bottom)",1.8,"Canada"
"Gillnets and entangling nets (not specified), (Bottom), Longlines (not specified), (Bottom)",1,"Canada"
"Longlines (not specified), (Bottom)",1,"Canada"
"Gillnets and entangling nets (not specified), (Midwater)",0.2,"Canada"
"Midwater trawls (not specified), (Midwater), Otter trawls (not specified), (Bottom), Trawls (not specified), (Bottom)",0.2,"Canada"
"Set gillnets/set nets (anchored), (Pelagic)",0.2,"Canada"
"Midwater trawls (not specified), (Demersal)",237.8,"Chile"
"Gillnets and entangling nets (not specified), (Pelagic)",220,"Chile"
"Trawls (not specified), (Demersal)",213,"Chile"
"Purse seines, (Surface)",159,"Chile"
"Purse seines, (Pelagic)",27.8,"Chile"
"Bottom trawls (not specified), (Bottom)",20.3,"Chile"
"Longlines (not specified), (Pelagic)",0.7,"Chile"
"Gillnets and entangling nets (not specified), (Demersal)",5380.5,"Iceland"
"Trawls (not specified), (Bottom)",29.6,"Iceland"
"Midwater trawls (not specified), (Pelagic)",1,"Iceland"
"Set gillnets/set nets (anchored), (Bottom)",3784,"Norway"
"Purse seines, (Pelagic)",1.33,"Norway"
