"ExportFishery","GearType","Vessels","Licenses","Participants","MarineMammalMortality","RFMO","AdditionalInfo","Country"
"Albacore (Thunnus alalunga); Bigeye tuna (Thunnus obesus); Skipjack tuna (Katsuwonus pelamis); Swordfish (Xiphias gladius); Tunas nei (Thunnini); Yellowfin tuna (Thunnus albacares) ","Longlines (not specified), (Bottom), Trolling lines, (Bottom)",NA,78,NA,0,"ICCAT",NA,"Canada"
"Albacore (Thunnus alalunga); Atlantic bluefin tuna (Thunnus thynnus); Atlantic white marlin (Tetrapturus albidus); Bigeye tuna (Thunnus obesus); Blue marlin (Makaira nigricans); Blue shark (Prionace glauca); Common dolphinfish (Coryphaena hippurus); Opah (Lampris guttatus); Porbeagle (Lamna nasus); Shortfin mako (Isurus oxyrinchus); Skipjack tuna (Katsuwonus pelamis); Swordfish (Xiphias gladius); Wahoo (Acanthocybium solandri); Yellowfin tuna (Thunnus albacares) ","Longlines (not specified), (Bottom)",NA,77,NA,0,"ICCAT",NA,"Canada"
"Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); American angler (Lophius americanus); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Atlantic redfishes nei (Sebastes spp); Greenland halibut (Reinhardtius hippoglossoides); Haddock (Melanogrammus aeglefinus); Roughhead grenadier (Macrourus berglax); Saithe(=Pollock) (Pollachius virens); White hake (Urophycis tenuis); Witch flounder ","Midwater trawls (not specified), (Midwater)",NA,NA,0,0,"NAFO",NA,"Canada"
"Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); American angler (Lophius americanus); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Atlantic mackerel (Scomber scombrus); Atlantic redfishes nei (Sebastes spp); Atlantic redfishes nei (Sebastes spp); Blue shark (Prionace glauca); Dogfishes nei (Squalus spp); Greenland halibut (Reinhardtius hippoglossoides); Haddock (Melanogrammus aeglefinus); Northern cods nei (Gadus spp); Roundnose grenadier (Coryphaenoides rupestris); Saithe(=Pollock) (Pollachius virens); Silver hake (Merluccius bilinearis); Starry ray (Raja radiata); White hake (Urophycis tenuis); Witch flounder (Glyptocephalus cynoglossus); Yellowtail flounder (Limanda ferruginea) ","Otter trawls (not specified), (Bottom)",NA,NA,10,17.6,"NAFO","Common minke whale (Atlantic Canada and Eastern Arctic): 0; Gray seal (Western North Atlantic): .8; Harbor porpoise (Newfoundland): 0; Harbor seal, common seal (Western North Atlantic (stock delineation in CAN unknown)): 0; Harp seal (Western North Atlantic): 12; Hooded seal (Western North Atlantic): 0; Humpback whale (Gulf of St. Lawrence, Scotian Shelf, Bay of Fundy, Newfoundland): .8; Long­finned pilot whale (Gulf of St. Lawrence, Scotian Shelf, Bay of Fundy, Newfoundland): .8; Ringed seal (Arctic & Labrador): 0; Seal unspecified (STOCK NOT SPECIFIED): .8; Whale unspecified (STOCK NOT
SPECIFIED): 2.4","Canada"
"Arctic lyre crab (Hyas coarctatus); Atlantic lyre crab (Hyas araneus) Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); American angler (Lophius americanus); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Atlantic redfishes nei (Sebastes spp); Greenland halibut (Reinhardtius hippoglossoides); Haddock (Melanogrammus aeglefinus); Saithe(=Pollock) (Pollachius virens); Starry ray (Raja radiata); Tusk(=Cusk) (Brosme brosme); White hake (Urophycis tenuis); Witch flounder (Glyptocephalus cynoglossus); Yellowtail flounder ","Longlines (not specified), (Bottom)",NA,NA,68,0,"NAFO",NA,"Canada"
"Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); American angler (Lophius americanus); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Atlantic herring (Clupea harengus); Atlantic redfishes nei (Sebastes spp); Blue shark (Prionace glauca); Greenland halibut (Reinhardtius hippoglossoides); Haddock (Melanogrammus aeglefinus); Haddock (Melanogrammus aeglefinus); Lumpfish (roe/caviar); Lumpfish(=Lumpsucker) (Cyclopterus lumpus); Neon flying squid (Ommastrephes bartrami); Saithe(=Pollock) (Pollachius virens); Sculpins nei (Cottidae); Starry ray (Raja radiata); White hake (Urophycis tenuis); White hake (Urophycis tenuis); Winter flounder (Pseudopleuronectes americanus); Witch flounder (Glyptocephalus cynoglossus); Yellowtail flounder (Limanda ferruginea)
Amer. plaice(=Long rough dab) (Hippoglossoides platessoides); Atlantic cod (Gadus morhua); Atlantic halibut (Hippoglossus hippoglossus); Atlantic redfishes nei (Sebastes spp); Haddock (Melanogrammus aeglefinus); Lumpfish(=Lumpsucker) (Cyclopterus lumpus); Saithe(=Pollock) (Pollachius virens); White hake (Urophycis tenuis); Winter flounder (Pseudopleuronectes americanus); Witch flounder (Glyptocephalus cynoglossus)","Gillnets and entangling nets (not specified), (Bottom)",NA,NA,1434,20,"NAFO","Harp seal (Western North Atlantic): 20 ","Canada"
"Aesop shrimp (Pandalus montagui); Northern prawn (Pandalus borealis) ","Trawls (not specified), (Bottom), shrimp/prawn trawl, (Bottom)",NA,NA,207,NA,"NAFO",NA,"Canada"
"Patagonian toothfish (Dissostichus eleginoides)","Longlines (not specified), (Bottom)",1,NA,NA,0,"CCAMLR",NA,"Chile"
"Patagonian toothfish (Dissostichus eleginoides)","Longlines (not specified), (Bottom)",0,NA,NA,NA,"CCAMLR",NA,"Chile"
"Albacore (Thunnus alalunga); Angler(=Monk) (Lophius piscatorius); Bigeye tuna (Thunnus obesus); Blue shark (Prionace glauca); Butterfly kingfish (Gasterochisma melampus); Common dolphinfish (Coryphaena hippurus); Eastern Pacific bonito (Sarda chiliensis); Escolar (Lepidocybium flavobrunneum); Oilfish (Ruvettus pretiosus); Opah (Lampris guttatus); Porbeagle (Lamna nasus); Rays and skates nei (Rajidae); Shortfin mako (Isurus oxyrinchus); Skipjack tuna (Katsuwonus pelamis); Striped marlin (Tetrapturus audax); Striped marlin (Tetrapturus audax); Thresher (Alopias vulpinus); Wahoo (Acanthocybium solandri); Yellowfin tuna (Thunnus albacares); Yellowtail amberjack (Seriola lalandi)","Longlines (not specified), (Pelagic)",100,NA,NA,0,"IATTC",NA,"Chile"
