"GearType","Vessels","Licenses","Participants","VLPTotal","Country"
"Gillnet",405,6877,2992,10274,"Canada"
"Longline",17,2143,1594,3754,"Canada"
"Trawl",156,880,237,1273,"Canada"
"Seine",0,30,0,30,"Canada"
"Longline",4129,0,0,4129,"Chile"
"Gillnet",2065,0,0,2065,"Chile"
"Seine",1096,55,55,1206,"Chile"
"Trawl",51,7,7,65,"Chile"
"Longline",278,1,4489,4768,"Ecuador"
"Gillnet",1538,1585,0,3123,"Ecuador"
"Seine",282,0,0,282,"Ecuador"
"Trawl",80,0,0,80,"Ecuador"
"Gillnet",1324,1324,0,2648,"Fiji"
"Longline",90,60,950,1100,"Fiji"
"Trawl",54,54,54,162,"Honduras"
"Longline",1,1,1,3,"Iceland"
"Gillnet",0,0,0,0,"Iceland"
"Seine",0,0,0,0,"Iceland"
"Trawl",0,0,0,0,"Iceland"
"Gillnet",3794,2144,2144,8082,"Norway"
"Longline",1322,1322,1322,3966,"Norway"
"Seine",370,0,100,470,"Norway"
"Trawl",185,45,45,275,"Norway"
"Trawl",3555,3555,0,7110,"Thailand"
"Seine",814,814,0,1628,"Thailand"
"Gillnet",787,787,0,1574,"Thailand"
"Longline",46,46,0,92,"Thailand"
"Gillnet",63577,63577,285,127439,"Vietnam"
"Trawl",47133,47133,14682,108948,"Vietnam"
"Seine",13969,13969,2209,30147,"Vietnam"
