"GearType","Vessels","Licenses","Participants","VLPTotal"
"Gillnets and entangling nets (not specified), (Demersal)",30780,30065,0,60845
"Trawls (not specified), (Bottom)",22609,22787,14727,60123
"Gillnets and entangling nets (not specified), (Pelagic)",26107,25619,4,51730
"Handlines and hand­operated pole­ and­lines, (Midwater), Surrounding nets (not specified), (Pelagic), single and/or pair trawl, (Demersal)",24615,24615,0,49230
"Purse seines, (Pelagic)",14686,13969,2309,30964
"Gillnets and entangling nets (not specified), (Bottom)",8875,10460,1728,21063
"Longlines (not specified), (Bottom)",1329,1794,7405,10528
"Set gillnets/set nets (anchored), (Bottom)",3832,2756,2454,9042
"Beam trawls, (Demersal), Otter trawls (not specified), (Demersal),",3555,3555,0,7110
"Longlines (not specified), (Demersal)",3484,0,0,3484
"Gillnets and entangling nets (not specified), (Surface)",1500,1700,200,3400
"Set gillnets/set nets (anchored), (Surface)",1324,1336,150,2810
"Longlines (not specified), (Pelagic)",642,1595,1,2238
"Gillnets and entangling nets (not specified), (Surface), Set gillnets/set nets (anchored), (Pelagic)",0,1947,204,2151
"Purse seines, (Demersal)",814,814,0,1628
"Gillnets and entangling nets (not specified), (Demersal), Gillnets and entangling nets (not specified), (Pelagic)",787,787,0,1574
"Set longlines, (Pelagic)",90,60,950,1100
"Set gillnets/set nets (anchored), (Pelagic)",0,984,40,1024
"Purse seines, (Surface)",749,55,55,859
"Fixed gillnets (on stakes), (Demersal)",285,285,285,855
"Fixed gillnets (on stakes), (Pelagic), Set gillnets/set nets (anchored), (Pelagic)",0,0,356,356
"Fixed gillnets (on stakes), (Bottom), Set gillnets/set nets (anchored), (Bottom)",0,319,0,319
"Purse seines, (Midwater), Purse seines, (Surface)",282,0,0,282
"Longlines (not specified), (Midwater), Longlines (not specified), (Pelagic), Longlines (not specified), (Surface)",277,0,0,277
"Beam trawls, (Bottom), Otter trawls (not specified), (Bottom)",0,237,0,237
"Midwater trawls (not specified), (Midwater), Otter trawls (not specified), (Bottom), Trawls (not specified), (Bottom)",50,169,0,219
"Trawls (not specified), (Bottom), shrimp/prawn trawl, (Bottom)",0,0,207,207
"Trawls (not specified), (Midwater)",180,0,0,180
"Single and/or double rig trawl, (Bottom)",54,54,54,162
"Otter trawls (not specified), (Bottom)",27,78,27,132
"Midwater trawls (not specified), (Midwater)",19,75,1,95
"Longlines (not specified), (Benthic)",46,46,0,92
"Longlines (not specified), (Bottom), Trolling lines, (Bottom)",0,78,0,78
"Bottom trawls (not specified), (Bottom), Midwater trawls (not specified), (Midwater)",53,0,0,53
"Bottom trawls (not specified), (Bottom)",26,7,7,40
"Barriers, fences, weirs, etc., (Pelagic), Beach seines, (Pelagic), Other (Please Specify) shut­off / stop seine, (Pelagic), trap nets/stationary nets, (Pelagic)",0,30,0,30
"Set gillnets/set nets (anchored), (Bottom), Trawls (not specified), (Bottom), dip nets, (Bottom)",0,25,0,25
"Midwater trawls (not specified), (Midwater), Otter trawls (not specified), (Bottom)",0,22,0,22
"Trawls (not specified), (Midwater), shrimp/prawn trawl, (Midwater)",0,21,0,21
"Otter trawls (not specified), (Benthic)",0,19,0,19
"Midwater trawls (not specified), (Bottom)",0,17,0,17
"Gillnets and entangling nets (not specified), (Bottom), Longlines (not specified), (Bottom)",15,0,0,15
"Trawls (not specified), (Demersal)",13,0,0,13
"Midwater trawls (not specified), (Demersal)",12,0,0,12
"shrimp/prawn trawl, (Bottom)",1,10,1,12
"Barriers, fences, weirs, etc., (Surface), Set gillnets/set nets (anchored), (Surface)",0,10,0,10
"Midwater trawls (not specified), (Midwater), Semipelagic trawls, (Demersal), Trawls (not specified), (Bottom)",0,8,0,8
"Midwater trawls (not specified), (Midwater), Otter trawls (not specified), (Midwater)",0,0,1,1
"Set gillnets/set nets (anchored), (Midwater)",0,1,0,1
"Gillnets and entangling nets (not specified), (Bottom), Seine nets (not specified), (Pelagic), Traps (not specified), (Bottom)",0,0,0,0
"Gillnets and entangling nets (not specified), (Midwater)",0,0,0,0
"Midwater trawls (not specified), (Pelagic)",0,0,0,0
"Nephrops trawl (bottom)",0,0,0,0
