"GearType","Frequency"
"Set gillnets/set nets (anchored), (Bottom)",11
"Otter trawls (not specified), (Bottom)",10
"Longlines (not specified), (Bottom)",9
"Longlines (not specified), (Pelagic)",9
"Midwater trawls (not specified), (Midwater), Otter trawls (not specified), (Bottom), Trawls (not specified), (Bottom)",8
"Midwater trawls (not specified), (Midwater)",7
"Set gillnets/set nets (anchored), (Pelagic)",5
"Gillnets and entangling nets (not specified), (Pelagic)",4
"Trawls (not specified), (Bottom)",4
"Fixed gillnets (on stakes), (Bottom), Set gillnets/set nets (anchored), (Bottom)",3
"Fixed gillnets (on stakes), (Pelagic), Set gillnets/set nets (anchored), (Pelagic)",2
"Gillnets and entangling nets (not specified), (Bottom)",2
"Set gillnets/set nets (anchored), (Surface)",2
"Barriers, fences, weirs, etc., (Pelagic), Beach seines, (Pelagic), Other (Please Specify) shut­off / stop seine, (Pelagic), trap nets/stationary nets, (Pelagic)",1
"Barriers, fences, weirs, etc., (Surface), Set gillnets/set nets (anchored), (Surface)",1
"Beam trawls, (Bottom), Otter trawls (not specified), (Bottom)",1
"Bottom trawls (not specified), (Bottom), Midwater trawls (not specified), (Midwater)",1
"Gillnets and entangling nets (not specified), (Bottom), Longlines (not specified), (Bottom)",1
"Gillnets and entangling nets (not specified), (Bottom), Seine nets (not specified), (Pelagic), Traps (not specified), (Bottom)",1
"Gillnets and entangling nets (not specified), (Midwater)",1
"Gillnets and entangling nets (not specified), (Surface)",1
"Gillnets and entangling nets (not specified), (Surface), Set gillnets/set nets (anchored), (Pelagic)",1
"Longlines (not specified), (Bottom), Trolling lines, (Bottom)",1
"Midwater trawls (not specified), (Bottom)",1
"Midwater trawls (not specified), (Midwater), Otter trawls (not specified), (Bottom)",1
"Midwater trawls (not specified), (Midwater), Otter trawls (not specified), (Midwater)",1
"Midwater trawls (not specified), (Midwater), Semipelagic trawls, (Demersal), Trawls (not specified), (Bottom)",1
"Otter trawls (not specified), (Benthic)",1
"Set gillnets/set nets (anchored), (Bottom), Trawls (not specified), (Bottom), dip nets, (Bottom)",1
"Set gillnets/set nets (anchored), (Midwater)",1
"shrimp/prawn trawl, (Bottom)",1
"Trawls (not specified), (Bottom), shrimp/prawn trawl, (Bottom)",1
"Trawls (not specified), (Midwater), shrimp/prawn trawl, (Midwater)",1
