"GearType","MarineMammalMortality"
"Set gillnets/set nets (anchored), (Bottom)",52.2
"Gillnets and entangling nets (not specified), (Bottom)",40
"Bottom trawls (not specified), (Bottom), Midwater trawls (not specified), (Midwater)",27.6
"Otter trawls (not specified), (Bottom)",18.4
"Trawls (not specified), (Bottom)",1.8
"Gillnets and entangling nets (not specified), (Bottom), Longlines (not specified), (Bottom)",1
"Longlines (not specified), (Bottom)",1
"Gillnets and entangling nets (not specified), (Midwater)",0.2
"Midwater trawls (not specified), (Midwater), Otter trawls (not specified), (Bottom), Trawls (not specified), (Bottom)",0.2
"Set gillnets/set nets (anchored), (Pelagic)",0.2
"Barriers, fences, weirs, etc., (Pelagic), Beach seines, (Pelagic), Other (Please Specify) shut­off / stop seine, (Pelagic), trap nets/stationary nets, (Pelagic)",0
"Barriers, fences, weirs, etc., (Surface), Set gillnets/set nets (anchored), (Surface)",0
"Beam trawls, (Bottom), Otter trawls (not specified), (Bottom)",0
"Fixed gillnets (on stakes), (Bottom), Set gillnets/set nets (anchored), (Bottom)",0
"Fixed gillnets (on stakes), (Pelagic), Set gillnets/set nets (anchored), (Pelagic)",0
"Gillnets and entangling nets (not specified), (Bottom), Seine nets (not specified), (Pelagic), Traps (not specified), (Bottom)",0
"Gillnets and entangling nets (not specified), (Pelagic)",0
"Gillnets and entangling nets (not specified), (Surface)",0
"Gillnets and entangling nets (not specified), (Surface), Set gillnets/set nets (anchored), (Pelagic)",0
"Longlines (not specified), (Bottom), Trolling lines, (Bottom)",0
"Longlines (not specified), (Pelagic)",0
"Midwater trawls (not specified), (Bottom)",0
"Midwater trawls (not specified), (Midwater)",0
"Midwater trawls (not specified), (Midwater), Otter trawls (not specified), (Bottom)",0
"Midwater trawls (not specified), (Midwater), Otter trawls (not specified), (Midwater)",0
"Midwater trawls (not specified), (Midwater), Semipelagic trawls, (Demersal), Trawls (not specified), (Bottom)",0
"Otter trawls (not specified), (Benthic)",0
"Set gillnets/set nets (anchored), (Bottom), Trawls (not specified), (Bottom), dip nets, (Bottom)",0
"Set gillnets/set nets (anchored), (Midwater)",0
"Set gillnets/set nets (anchored), (Surface)",0
"shrimp/prawn trawl, (Bottom)",0
"Trawls (not specified), (Bottom), shrimp/prawn trawl, (Bottom)",0
"Trawls (not specified), (Midwater), shrimp/prawn trawl, (Midwater)",0
