"GearType","MarineMammalMortality"
"Set gillnets/set nets (anchored), (Bottom)",52.2
"Gillnets and entangling nets (not specified), (Bottom)",40
"Bottom trawls (not specified), (Bottom), Midwater trawls (not specified), (Midwater)",27.6
"Otter trawls (not specified), (Bottom)",18.4
"Trawls (not specified), (Bottom)",1.8
"Gillnets and entangling nets (not specified), (Bottom), Longlines (not specified), (Bottom)",1
"Longlines (not specified), (Bottom)",1
"Gillnets and entangling nets (not specified), (Midwater)",0.2
"Midwater trawls (not specified), (Midwater), Otter trawls (not specified), (Bottom), Trawls (not specified), (Bottom)",0.2
"Set gillnets/set nets (anchored), (Pelagic)",0.2
