"GearType","MarineMammalMortality"
"Midwater trawls (not specified), (Demersal)",237.8
"Gillnets and entangling nets (not specified), (Pelagic)",220
"Trawls (not specified), (Demersal)",213
"Purse seines, (Surface)",159
"Purse seines, (Pelagic)",27.8
"Bottom trawls (not specified), (Bottom)",20.3
"Longlines (not specified), (Pelagic)",0.7
"Gillnets and entangling nets (not specified), (Demersal)",0
"Longlines (not specified), (Bottom)",0
"Longlines (not specified), (Demersal)",0
"Purse seines, (Surface)
",0
