"GearType","Vessels","Licenses","Participants","VLPTotal"
"Longlines (not specified), (Demersal)",3484,0,0,3484
"Gillnets and entangling nets (not specified), (Pelagic)",1350,0,0,1350
"Purse seines, (Surface)",688,55,55,798
"Gillnets and entangling nets (not specified), (Demersal)",715,0,0,715
"Longlines (not specified), (Pelagic)",641,0,0,641
"Purse seines, (Pelagic)",347,0,0,347
"Purse seines, (Surface)
",61,0,0,61
"Bottom trawls (not specified), (Bottom)",26,7,7,40
"Trawls (not specified), (Demersal)",13,0,0,13
"Midwater trawls (not specified), (Demersal)",12,0,0,12
"Longlines (not specified), (Bottom)",4,0,0,4
